식품명,에너지(kcal)
마카롱_다크 초콜릿 마카롱,463
마카롱_다크초코가나슈 마카롱,267
마카롱_달고나 마카롱,303
마카롱_더블 초코 뚱카롱,450
마카롱_딸기 마카롱,190
마카롱_딸기 마카롱,496
마카롱_딸기 치즈케익 뚱카롱,617
마카롱_딸기가나슈 마카롱,375
마카롱_딸기 마카롱,436
마카롱_딸기요거트 마카롱,452
마카롱_딸기 퐁카롱,330
마카롱_레드벨벳 마카롱,484
마카롱_레몬 마카롱,496
마카롱_레인보우 마카롱 (5입),449
마카롱_로즈라즈베리 뚱카롱,400
마카롱_리얼블루베리 마카롱,409
마카롱_리얼치즈 마카롱,469
마카롱_마다가스카르바닐라 마카롱,400
마카롱_마카롱,413
마카롱_망고가나슈 마카롱,404
마카롱_망고프로피컬 마카롱,400
마카롱_메가초코 마카롱,502
마카롱_민트초코 마카롱,477
마카롱_바닐라 딜라이트 뚱카롱,417
마카롱_바닐라 마카롱,498
마카롱_바닐라 마카롱,470
마카롱_바닐라 마카롱,519
마카롱_바닐라 마카롱,496
마카롱_바닐라 마카롱,445
마카롱_바닐라 마카롱,396
마카롱_벚꽃 마카롱 5종 세트,456
마카롱_벨지안초콜릿 마카롱,420
마카롱_블루베리 마카롱,440
마카롱_블루베리 마카롱,375
마카롱_블루베리 마카롱,400
마카롱_블루하와이 마카롱,451
마카롱_뽀또치즈 마카롱,440
마카롱_산딸기 마카롱,378
마카롱_산딸기 마카롱,400
마카롱_샤인머스켓 마카롱,287
마카롱_소다 마카롱,190
마카롱_솜사탕 마카롱,190
마카롱_순우유 뚱카롱,440
마카롱_슈팅요거트 마카롱,456
마카롱_슈팅캔디 마카롱,365
마카롱_스트로베리 마카롱,457
마카롱_스트로베리 치즈 마카롱,433
마카롱_얼그레이 쇼콜라 마카롱,500
마카롱_얼그레이 마카롱,425
마카롱_오마이그린티 마카롱,483
마카롱_우유치즈 마카롱,410
마카롱_유니콘 마카롱,236
마카롱_유니콘프라페 마카롱,491
마카롱_유자가나슈 마카롱,375
마카롱_인절미 마카롱,423
마카롱_천사의눈물(우유) 마카롱,413
마카롱_초땅샌드 마카롱,411
마카롱_초코 마카롱,190
마카롱_초코 마카롱,496
마카롱_초코떡카롱,375
마카롱_초코 마카롱,448
마카롱_초코 마카롱,375
마카롱_초코악마 마카롱,481
마카롱_초코 퐁카롱,273
마카롱_초코프레소 마카롱,460
마카롱_초콜릿 마카롱,452
마카롱_치즈 마카롱,496
마카롱_카라멜 마카롱,190
마카롱_카라멜솔티드 뚱카롱,400
마카롱_쿠앤크 마카롱,435
마카롱_쿠앤크 마카롱,496
마카롱_쿠쿠촉촉(오레오)가나슈 마카롱,429
마카롱_쿠쿠촉촉(오레오) 마카롱,485
마카롱_쿠쿠피그 마카롱,513
마카롱_쿠크샌드 마카롱,400
마카롱_쿠키 앤 크림 마카롱,483
마카롱_쿠키프라페 마카롱,480
마카롱_크랜베리딸기 마카롱,447
마카롱_크림치즈티라미수 마카롱,482
마카롱_타르트에빠진레드벨벳치즈 마카롱,500
마카롱_패션후르츠 마카롱,303
마카롱_퐁크러쉬 마카롱,491
마카롱_프렌치 블루베리 마카롱,375
마카롱_피스타치오 마카롱,190
마카롱_피스타치오 마카롱,440
마카롱_피치오레오 마카롱,332
마카롱_핑쿠핑쿠 마카롱,500
마카롱_핑크솔티드 카라멜 마카롱,375
마카롱_허니레몬 마카롱,470
마카롱_호박고구마 마카롱,190
마카롱_누텔라 뚱카롱,528
마카롱_돼지바 뚱카롱,498
마카롱_돼지바 마카롱,400
마카롱_딸기 마카롱,402
마카롱_딸기 마카롱,541
마카롱_딸기요거트 뚱카롱,439
마카롱_라즈베리 뚱카롱,493
마카롱_마약옥수수 뚱카롱,502
마카롱_말차 뚱카롱,466
마카롱_바나나누텔라 마카롱,440
마카롱_뽀또치즈 마카롱,440
마카롱_뽀또치즈 마카롱,393
마카롱_산딸기 마카롱,516
마카롱_솔티드카라멜 마카롱,437
마카롱_솔티카라멜 뚱카롱,439
마카롱_아몬드봉봉 마카롱,559
마카롱_얼그레이 마카롱,440
마카롱_연유 뚱카롱,469
마카롱_오레오 뚱카롱,486
마카롱_오레오 마카롱,417
마카롱_오렌지얼그레이 마카롱,427
마카롱_요거트 마카롱,447
마카롱_우유 마카롱,538
마카롱_월드콘 마카롱,454
마카롱_인절미 뚱카롱,439
마카롱_초코라떼 마카롱,410
마카롱_초콜릿 마카롱,550
마카롱_치즈케이크 마카롱,450
마카롱_쿠키앤크림 마카롱,435
마카롱_쿠키앤크림 마카롱,550
마카롱_크림브륄레 마카롱,493
마카롱_토피넛크런치 마카롱,435
마카롱_핑크딸기 마카롱,427
마카롱_황치즈 뚱카롱,486
마카롱_황치즈 마카롱,553
머핀_까놀레,333
머핀_마드렌,438
머핀_마들렌,465
머핀_블루베리 머핀,394
머핀_블루베리 머핀,439
머핀_블루베리 머핀,408
머핀_생미쉘시트러스마들렌,500
머핀_쌀휘낭시에,333
머핀_아이스콘 요구르트,506
